circuitId,circuitName
1,Albert Park Grand Prix Circuit
2,Sepang International Circuit
3,Bahrain International Circuit
4,Circuit de Barcelona-Catalunya
5,Istanbul Park
6,Circuit de Monaco
7,Circuit Gilles Villeneuve
8,Circuit de Nevers Magny-Cours
9,Silverstone Circuit
10,Hockenheimring
11,Hungaroring
12,Valencia Street Circuit
13,Circuit de Spa-Francorchamps
14,Autodromo Nazionale di Monza
15,Marina Bay Street Circuit
16,Fuji Speedway
17,Shanghai International Circuit
18,Autódromo José Carlos Pace
19,Indianapolis Motor Speedway
20,Nürburgring
21,Autodromo Enzo e Dino Ferrari
22,Suzuka Circuit
80,Las Vegas Strip Street Circuit
24,Yas Marina Circuit
25,Autódromo Juan y Oscar Gálvez
26,Circuito de Jerez
27,Autódromo do Estoril
28,Okayama International Circuit
29,Adelaide Street Circuit
30,Kyalami
31,Donington Park
32,Autódromo Hermanos Rodríguez
33,Phoenix street circuit
34,Circuit Paul Ricard
35,Korean International Circuit
36,Autódromo Internacional Nelson Piquet
37,Detroit Street Circuit
38,Brands Hatch
39,Circuit Park Zandvoort
40,Zolder
41,Dijon-Prenois
42,Fair Park
43,Long Beach
44,Las Vegas Street Circuit
45,Jarama
46,Watkins Glen
47,Scandinavian Raceway
48,Mosport International Raceway
49,Montjuïc
50,Nivelles-Baulers
51,Charade Circuit
52,Circuit Mont-Tremblant
53,Rouen-Les-Essarts
54,Le Mans
55,Reims-Gueux
56,Prince George Circuit
57,Zeltweg
58,Aintree
59,Circuito da Boavista
60,Riverside International Raceway
61,AVUS
62,Monsanto Park Circuit
63,Sebring International Raceway
64,Ain Diab
65,Pescara Circuit
66,Circuit Bremgarten
67,Circuit de Pedralbes
68,Buddh International Circuit
69,Circuit of the Americas
70,Red Bull Ring
71,Sochi Autodrom
73,Baku City Circuit
75,Autódromo Internacional do Algarve
76,Autodromo Internazionale del Mugello
77,Jeddah Corniche Circuit
78,Losail International Circuit
79,Miami International Autodrome
