driverId,constructorId,gridPosition,finalPosition,q1,q2,q3,constructorPosition
1,1,2,1,99000.0,98000.0,98000.0,2
1,1,1,3,86000.0,85000.0,84000.0,1
1,131,1,3,76000.0,75000.0,75000.0,1
1,131,1,1,75000.0,74000.0,74000.0,1
1,131,6,12,81000.0,81000.0,81000.0,4
1,131,2,1,90000.0,90000.0,89000.0,1
1,131,1,2,74000.0,74000.0,74000.0,1
1,1,7,3,96000.0,95000.0,95000.0,1
1,1,5,7,86000.0,85000.0,84000.0,2
1,1,1,1,75000.0,74000.0,75000.0,3
1,1,1,1,106000.0,106000.0,107000.0,4
1,131,2,1,98000.0,97000.0,97000.0,1
1,131,1,6,82000.0,82000.0,82000.0,1
1,131,1,2,85000.0,84000.0,83000.0,1
1,131,1,3,91000.0,90000.0,89000.0,1
1,1,24,8,82000.0,82000.0,81000.0,2
1,1,3,5,76000.0,75000.0,74000.0,2
1,1,2,1,74000.0,74000.0,74000.0,2
1,1,2,4,83000.0,83000.0,82000.0,2
1,1,4,5,107000.0,106000.0,104000.0,2
1,1,3,5,92000.0,91000.0,90000.0,2
1,131,3,2,77000.0,77000.0,77000.0,3
1,131,7,5,91000.0,90000.0,90000.0,3
1,131,4,5,63000.0,63000.0,63000.0,1
1,131,2,1,93000.0,91000.0,91000.0,1
1,131,1,3,120000.0,109000.0,121000.0,2
1,1,8,5,92000.0,91000.0,91000.0,2
1,1,1,1,86000.0,85000.0,86000.0,1
1,1,4,2,95000.0,94000.0,96000.0,11
1,131,1,1,96000.0,95000.0,94000.0,1
1,131,1,2,82000.0,81000.0,80000.0,1
1,131,3,1,89000.0,88000.0,88000.0,1
1,131,3,3,81000.0,80000.0,87000.0,2
1,131,1,1,88000.0,86000.0,86000.0,1
1,1,3,3,90000.0,90000.0,92000.0,4
1,131,2,1,93000.0,92000.0,92000.0,1
1,131,1,1,88000.0,88000.0,87000.0,1
1,131,1,3,94000.0,93000.0,92000.0,1
1,131,5,6,102000.0,101000.0,101000.0,3
1,1,9,5,95000.0,94000.0,96000.0,1
1,1,1,5,79000.0,79000.0,80000.0,2
1,131,3,4,75000.0,75000.0,74000.0,1
1,131,1,1,68000.0,67000.0,67000.0,1
1,1,1,1,95000.0,94000.0,96000.0,2
1,1,1,3,106000.0,106000.0,107000.0,2
1,1,4,5,72000.0,71000.0,72000.0,2
1,1,4,3,86000.0,85000.0,86000.0,11
1,131,2,1,78000.0,77000.0,78000.0,1
1,131,1,1,78000.0,77000.0,76000.0,1
1,131,1,1,99000.0,97000.0,96000.0,1
1,131,2,1,92000.0,92000.0,91000.0,1
1,131,1,2,99000.0,101000.0,109000.0,1
1,131,10,2,93000.0,92000.0,108000.0,4
1,131,2,2,80000.0,79000.0,79000.0,1
1,131,2,2,71000.0,71000.0,71000.0,1
1,131,6,5,80000.0,79000.0,79000.0,4
1,1,9,6,95000.0,95000.0,98000.0,4
1,131,5,4,65000.0,65000.0,64000.0,4
1,131,1,2,81000.0,81000.0,81000.0,1
1,1,1,1,76000.0,75000.0,75000.0,11
1,131,2,2,77000.0,76000.0,76000.0,1
1,131,10,1,68000.0,68000.0,67000.0,1
1,131,1,7,79000.0,79000.0,78000.0,1
1,131,1,1,75000.0,75000.0,75000.0,1
1,131,1,2,76000.0,76000.0,75000.0,1
1,131,4,1,105000.0,105000.0,104000.0,1
1,131,1,3,92000.0,92000.0,91000.0,1
1,131,2,1,86000.0,85000.0,85000.0,1
1,1,1,1,72000.0,72000.0,72000.0,11
1,1,2,3,74000.0,74000.0,75000.0,11
1,131,1,1,96000.0,96000.0,94000.0,1
1,131,1,1,79000.0,79000.0,78000.0,1
1,131,1,1,71000.0,71000.0,70000.0,1
1,1,2,1,92000.0,90000.0,90000.0,2
1,1,2,4,81000.0,81000.0,79000.0,2
1,1,2,8,94000.0,93000.0,92000.0,2
1,131,1,1,76000.0,76000.0,76000.0,1
1,131,2,1,74000.0,74000.0,73000.0,1
1,1,5,4,92000.0,92000.0,94000.0,4
1,131,2,1,92000.0,92000.0,92000.0,1
1,131,1,1,93000.0,92000.0,92000.0,1
1,1,4,1,80000.0,80000.0,81000.0,5
1,1,1,2,98000.0,98000.0,99000.0,4
1,131,1,1,74000.0,73000.0,72000.0,1
1,131,2,1,89000.0,86000.0,85000.0,4
1,131,2,2,70000.0,70000.0,70000.0,1
1,131,2,1,101000.0,100000.0,100000.0,1
1,1,3,4,99000.0,97000.0,97000.0,2
1,1,10,4,93000.0,92000.0,92000.0,2
1,1,1,1,79000.0,79000.0,79000.0,11
1,131,2,2,86000.0,86000.0,85000.0,1
1,131,1,1,76000.0,76000.0,75000.0,1
