raceId,driverId,constructorId,gridPosition,finalPosition,points,totalLaps,finalMilliseconds,fastestLap,fastestLapTime,fastestLapSpeed,statusId
18,1,1,1,1,10.0,58,5690616,39,1:27.452,218.3,1
18,2,2,5,2,8.0,58,5696094,41,1:27.739,217.586,1
18,3,3,7,3,6.0,58,5698779,41,1:28.090,216.719,1
18,4,4,11,4,5.0,58,5707797,58,1:28.603,215.464,1
18,5,1,3,5,4.0,58,5708630,43,1:27.418,218.385,1
19,8,6,2,1,10.0,56,5478555,37,1:35.405,209.158,1
19,9,2,4,2,8.0,56,5498125,39,1:35.921,208.033,1
19,5,1,8,3,6.0,56,5517005,19,1:35.922,208.031,1
19,15,7,3,4,5.0,56,5524387,53,1:36.068,207.715,1
19,1,1,9,5,4.0,56,5525103,53,1:35.462,209.033,1
19,2,2,5,6,3.0,56,5528388,55,1:35.366,209.244,1
19,17,9,6,7,2.0,56,5546685,53,1:36.696,206.366,1
19,4,4,7,8,1.0,56,5548596,40,1:36.288,207.24,1
19,14,9,12,9,0.0,56,5554775,55,1:36.206,207.417,1
19,18,11,11,10,0.0,56,5564769,56,1:35.715,208.481,1
19,12,4,13,11,0.0,56,5570757,52,1:36.956,205.812,1
20,13,6,2,1,10.0,57,5466970,38,1:33.600,208.153,1
20,8,6,4,2,8.0,57,5470309,35,1:33.709,207.911,1
20,9,2,1,3,6.0,57,5471968,55,1:33.775,207.765,1
20,2,2,6,4,5.0,57,5475379,48,1:33.565,208.231,1
20,5,1,5,5,4.0,57,5493759,49,1:33.193,209.062,1
20,15,7,7,6,3.0,57,5508284,45,1:34.204,206.819,1
20,17,9,11,7,2.0,57,5512443,51,1:34.305,206.597,1
20,3,3,8,8,1.0,57,5522859,57,1:34.072,207.109,1
20,10,7,13,9,0.0,57,5536470,56,1:34.807,205.503,1
20,4,4,10,10,0.0,57,5544151,35,1:35.194,204.668,1
20,22,11,12,11,0.0,57,5544832,40,1:34.855,205.399,1
21,8,6,1,1,10.0,66,5899051,46,1:21.670,205.191,1
21,13,6,3,2,8.0,66,5902279,45,1:21.801,204.863,1
21,1,1,5,3,6.0,66,5903238,20,1:22.017,204.323,1
21,9,2,4,4,5.0,66,5904745,20,1:22.106,204.102,1
21,17,9,7,5,4.0,66,5934989,19,1:22.564,202.969,1
21,18,11,13,6,3.0,66,5952061,66,1:22.353,203.489,1
21,6,3,12,7,2.0,66,5957295,48,1:23.549,200.576,1
21,15,7,8,8,1.0,66,5958486,45,1:22.758,202.494,1
21,2,2,9,9,0.0,66,5962124,21,1:22.519,203.08,1
22,13,6,1,1,10.0,58,5209451,16,1:26.666,221.734,1
22,1,1,3,2,8.0,58,5213230,31,1:26.529,222.085,1
22,8,6,4,3,6.0,58,5213722,20,1:26.506,222.144,1
22,9,2,5,4,5.0,58,5231396,17,1:26.780,221.442,1
22,2,2,9,5,4.0,58,5248192,20,1:27.219,220.328,1
22,4,4,7,6,3.0,58,5263175,57,1:27.280,220.174,1
22,17,9,6,7,2.0,58,5273680,14,1:27.630,219.294,1
22,3,3,11,8,1.0,58,5280857,55,1:27.795,218.882,1
22,14,9,10,9,0.0,58,5284721,41,1:27.966,218.457,1
22,15,7,8,10,0.0,58,5285795,52,1:27.926,218.556,1
23,1,1,3,1,10.0,76,7242742,71,1:18.510,153.152,1
23,9,2,5,2,8.0,76,7245806,75,1:17.933,154.286,1
23,13,6,1,3,6.0,76,7247553,76,1:17.886,154.379,1
23,17,9,9,4,5.0,76,7262037,74,1:19.036,152.133,1
23,20,5,19,5,4.0,76,7267399,74,1:18.787,152.614,1
23,22,11,14,6,3.0,76,7271150,75,1:19.574,151.104,1
23,6,3,13,7,2.0,76,7272922,75,1:19.910,150.469,1
23,5,1,4,8,1.0,76,7275933,74,1:17.282,155.586,1
23,8,6,2,9,0.0,76,7276534,74,1:16.689,156.789,1
24,9,2,2,1,10.0,70,5784447,47,1:17.539,202.473,1
24,2,2,8,2,8.0,70,5800942,25,1:17.430,202.758,1
24,14,9,13,3,6.0,70,5807799,36,1:18.085,201.057,1
24,10,7,11,4,5.0,70,5827074,31,1:19.087,198.51,1
24,13,6,6,5,4.0,70,5828381,11,1:18.006,201.261,1
24,15,7,14,6,3.0,70,5832222,38,1:18.870,199.056,1
24,22,11,9,7,2.0,70,5838044,35,1:18.301,200.503,1
24,20,5,19,8,1.0,70,5838567,33,1:18.532,199.913,1
24,5,1,7,9,0.0,70,5838880,62,1:18.462,200.091,1
24,3,3,5,10,0.0,70,5842196,14,1:17.977,201.336,1
24,18,11,20,11,0.0,70,5851987,58,1:19.352,197.847,1
24,17,9,10,12,0.0,70,5855676,51,1:18.201,200.759,1
25,13,6,2,1,10.0,70,5510245,20,1:16.729,206.956,1
25,8,6,1,2,8.0,70,5528229,16,1:16.630,207.224,1
25,15,7,4,3,6.0,70,5538495,12,1:17.567,204.721,1
25,5,1,10,4,5.0,70,5539174,46,1:17.134,205.87,1
25,9,2,5,5,4.0,70,5540757,16,1:17.172,205.768,1
25,17,9,6,6,3.0,70,5550549,22,1:17.507,204.879,1
25,12,4,9,7,2.0,70,5551278,24,1:17.758,204.218,1
25,4,4,3,8,1.0,70,5553617,39,1:17.641,204.525,1
25,14,9,7,9,0.0,70,5561317,23,1:17.818,204.06,1
25,1,1,13,10,0.0,70,5564766,40,1:17.453,205.022,1
25,10,7,8,11,0.0,70,5567983,45,1:17.836,204.013,1
25,20,5,12,12,0.0,70,5568310,36,1:17.760,204.212,1
25,2,2,11,13,0.0,70,5572324,46,1:17.716,204.328,1
26,1,1,4,1,10.0,60,5949440,16,1:32.817,199.398,1
26,2,2,5,2,8.0,60,6018017,21,1:32.719,199.609,1
26,22,11,16,3,6.0,60,6031713,21,1:33.386,198.183,1
27,1,1,1,1,10.0,67,5480874,17,1:16.039,216.552,1
27,12,4,17,2,8.0,67,5486460,66,1:16.910,214.099,1
27,13,6,2,3,6.0,67,5490213,19,1:16.502,215.241,1
27,2,2,12,4,5.0,67,5490699,52,1:15.987,216.7,1
27,5,1,3,5,4.0,67,5493285,63,1:16.495,215.261,1
27,8,6,6,6,3.0,67,5495357,66,1:16.342,215.692,1
27,9,2,7,7,2.0,67,5503477,17,1:16.610,214.937,1
27,20,5,9,8,1.0,67,5514156,20,1:16.772,214.484,1
27,15,7,4,9,0.0,67,5518073,17,1:17.023,213.785,1
27,3,3,13,10,0.0,67,5518532,34,1:17.380,212.799,1
27,4,4,5,11,0.0,67,5519499,17,1:17.115,213.53,1
27,7,5,15,12,0.0,67,5519985,63,1:16.969,213.935,1
27,14,9,10,13,0.0,67,5535845,18,1:16.994,213.866,1
27,6,3,16,14,0.0,67,5540877,23,1:17.691,211.947,1
27,16,10,19,15,0.0,67,5550362,66,1:17.889,211.408,1
27,21,10,20,16,0.0,67,5564967,67,1:18.208,210.546,1
28,5,1,2,1,10.0,70,5847067,19,1:21.753,192.917,1
28,10,7,5,2,8.0,70,5858128,42,1:21.671,193.111,1
28,8,6,6,3,6.0,70,5863923,61,1:21.195,194.243,1
28,4,4,7,4,5.0,70,5868681,47,1:21.793,192.823,1
28,1,1,1,5,4.0,70,5870115,15,1:21.493,193.533,1
28,12,4,10,6,3.0,70,5879365,64,1:21.537,193.428,1
28,15,7,9,7,2.0,70,5883516,65,1:21.638,193.189,1
28,9,2,4,8,1.0,70,5895388,70,1:21.941,192.475,1
28,17,9,8,9,0.0,70,5905901,67,1:22.125,192.043,1
28,2,2,15,10,0.0,70,5914776,67,1:22.183,191.908,1
28,14,9,13,11,0.0,70,5917474,67,1:22.732,190.634,1
29,13,6,1,1,10.0,57,5732339,36,1:38.708,197.637,1
29,1,1,2,2,8.0,57,5737950,16,1:38.884,197.285,1
29,9,2,3,3,6.0,57,5769692,38,1:39.330,196.399,1
29,5,1,5,4,5.0,57,5772042,19,1:39.112,196.831,1
29,15,7,7,5,4.0,57,5783023,37,1:39.657,195.755,1
29,20,5,6,6,3.0,57,5784964,36,1:39.485,196.093,1
29,10,7,13,7,2.0,57,5800329,54,1:39.535,195.995,1
29,3,3,9,8,1.0,57,5803796,35,1:39.577,195.912,1
29,2,2,8,9,0.0,57,5814516,57,1:39.526,196.013,1
29,7,5,10,10,0.0,57,5822133,35,1:39.639,195.79,1
29,12,4,15,11,0.0,57,5825056,29,1:39.544,195.977,1
30,13,6,2,1,10.0,44,4979394,26,1:48.222,232.987,1
30,2,2,5,2,8.0,44,4988777,36,1:49.067,231.182,1
30,1,1,1,3,6.0,44,4989933,20,1:48.135,233.175,1
30,4,4,6,4,5.0,44,4993872,25,1:49.238,230.82,1
30,20,5,10,5,4.0,44,4993970,16,1:49.086,231.142,1
30,9,2,8,6,3.0,44,4994431,36,1:48.965,231.399,1
30,7,5,9,7,2.0,44,4996129,31,1:49.002,231.32,1
30,17,9,7,8,1.0,44,5022170,34,1:49.515,230.236,1
30,10,7,13,9,0.0,44,5046439,37,1:50.255,228.691,1
31,20,5,1,1,10.0,53,5207494,53,1:30.510,230.414,1
31,5,1,2,2,8.0,53,5220006,53,1:30.300,230.95,1
31,9,2,11,3,6.0,53,5227965,52,1:30.298,230.955,1
31,4,4,8,4,5.0,53,5231397,51,1:29.961,231.82,1
31,2,2,10,5,4.0,53,5235242,53,1:29.807,232.217,1
31,13,6,6,6,3.0,53,5236310,52,1:29.696,232.505,1
31,1,1,15,7,2.0,53,5237406,52,1:29.721,232.44,1
31,17,9,3,8,1.0,53,5239542,52,1:29.681,232.544,1
31,8,6,14,9,0.0,53,5246962,53,1:28.047,236.859,1
31,12,4,17,10,0.0,53,5261939,53,1:30.918,229.38,1
31,10,7,9,11,0.0,53,5266382,53,1:29.948,231.853,1
31,6,3,18,12,0.0,53,5269509,53,1:30.215,231.167,1
31,15,7,7,13,0.0,53,5273448,52,1:30.853,229.544,1
31,3,3,5,14,0.0,53,5276129,53,1:30.019,231.671,1
31,18,11,19,15,0.0,53,5280864,52,1:29.827,232.166,1
32,4,4,15,1,10.0,61,7036304,55,1:45.768,172.464,1
32,3,3,8,2,8.0,61,7039261,39,1:46.454,171.352,1
32,1,1,2,3,6.0,61,7042221,14,1:46.072,171.969,1
32,10,7,7,4,5.0,61,7044459,50,1:47.044,170.408,1
32,20,5,6,5,4.0,61,7046572,13,1:47.271,170.047,1
32,2,2,9,6,3.0,61,7047405,14,1:47.306,169.992,1
32,14,9,14,7,2.0,61,7052691,41,1:47.562,169.587,1
32,6,3,10,8,1.0,61,7054793,13,1:47.287,170.022,1
32,18,11,12,9,0.0,61,7056189,61,1:48.128,168.7,1
32,5,1,5,10,0.0,61,7063206,14,1:47.337,169.943,1
32,9,2,4,11,0.0,61,7064279,14,1:46.899,170.639,1
32,7,5,17,12,0.0,61,7065736,29,1:47.820,169.181,1
32,13,6,1,13,0.0,61,7071474,13,1:45.757,172.482,1
32,21,10,20,14,0.0,61,7079875,28,1:49.101,167.195,1
33,4,4,4,1,10.0,67,5421892,41,1:19.101,207.668,1
33,9,2,6,2,8.0,67,5427175,16,1:19.292,207.168,1
33,8,6,2,3,6.0,67,5428292,66,1:18.995,207.947,1
33,12,4,12,4,5.0,67,5442462,54,1:19.199,207.411,1
33,15,7,7,5,4.0,67,5445659,18,1:19.524,206.564,1
33,20,5,9,6,3.0,67,5461099,21,1:19.617,206.322,1
33,13,6,5,7,2.0,67,5468050,55,1:18.426,209.456,1
33,17,9,13,8,1.0,67,5472703,30,1:19.820,205.798,1
33,2,2,16,9,0.0,67,5476012,67,1:19.461,206.727,1
33,7,5,10,10,0.0,67,5480977,49,1:19.262,207.246,1
33,3,3,15,11,0.0,67,5483988,66,1:19.531,206.545,1
33,1,1,1,12,0.0,67,5500792,65,1:19.560,206.47,1
34,1,1,1,1,10.0,56,5517403,13,1:36.325,203.722,1
