raceId,year,round,circuitId,date
1,2009,1,1,2009-03-29
2,2009,2,2,2009-04-05
3,2009,3,17,2009-04-19
4,2009,4,3,2009-04-26
5,2009,5,4,2009-05-10
6,2009,6,6,2009-05-24
7,2009,7,5,2009-06-07
8,2009,8,9,2009-06-21
9,2009,9,20,2009-07-12
10,2009,10,11,2009-07-26
11,2009,11,12,2009-08-23
12,2009,12,13,2009-08-30
13,2009,13,14,2009-09-13
14,2009,14,15,2009-09-27
15,2009,15,22,2009-10-04
16,2009,16,18,2009-10-18
17,2009,17,24,2009-11-01
18,2008,1,1,2008-03-16
19,2008,2,2,2008-03-23
20,2008,3,3,2008-04-06
21,2008,4,4,2008-04-27
22,2008,5,5,2008-05-11
23,2008,6,6,2008-05-25
24,2008,7,7,2008-06-08
25,2008,8,8,2008-06-22
26,2008,9,9,2008-07-06
27,2008,10,10,2008-07-20
28,2008,11,11,2008-08-03
29,2008,12,12,2008-08-24
30,2008,13,13,2008-09-07
31,2008,14,14,2008-09-14
32,2008,15,15,2008-09-28
33,2008,16,16,2008-10-12
34,2008,17,17,2008-10-19
35,2008,18,18,2008-11-02
36,2007,1,1,2007-03-18
37,2007,2,2,2007-04-08
38,2007,3,3,2007-04-15
39,2007,4,4,2007-05-13
40,2007,5,6,2007-05-27
41,2007,6,7,2007-06-10
42,2007,7,19,2007-06-17
43,2007,8,8,2007-07-01
44,2007,9,9,2007-07-08
45,2007,10,20,2007-07-22
46,2007,11,11,2007-08-05
47,2007,12,5,2007-08-26
48,2007,13,14,2007-09-09
49,2007,14,13,2007-09-16
50,2007,15,16,2007-09-30
51,2007,16,17,2007-10-07
52,2007,17,18,2007-10-21
53,2006,1,3,2006-03-12
54,2006,2,2,2006-03-19
55,2006,3,1,2006-04-02
56,2006,4,21,2006-04-23
57,2006,5,20,2006-05-07
58,2006,6,4,2006-05-14
59,2006,7,6,2006-05-28
60,2006,8,9,2006-06-11
61,2006,9,7,2006-06-25
62,2006,10,19,2006-07-02
63,2006,11,8,2006-07-16
64,2006,12,10,2006-07-30
65,2006,13,11,2006-08-06
66,2006,14,5,2006-08-27
67,2006,15,14,2006-09-10
68,2006,16,17,2006-10-01
69,2006,17,22,2006-10-08
70,2006,18,18,2006-10-22
71,2005,1,1,2005-03-06
72,2005,2,2,2005-03-20
73,2005,3,3,2005-04-03
74,2005,4,21,2005-04-24
75,2005,5,4,2005-05-08
76,2005,6,6,2005-05-22
