resultId,raceId,driverId,constructorId,grid,position,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
1,18,1,1,1,1,10.0,58,1:34:50.616,5690616,39,2,1:27.452,218.3,1
2,18,2,2,5,2,8.0,58,+5.478,5696094,41,3,1:27.739,217.586,1
3,18,3,3,7,3,6.0,58,+8.163,5698779,41,5,1:28.090,216.719,1
4,18,4,4,11,4,5.0,58,+17.181,5707797,58,7,1:28.603,215.464,1
5,18,5,1,3,5,4.0,58,+18.014,5708630,43,1,1:27.418,218.385,1
23,19,8,6,2,1,10.0,56,1:31:18.555,5478555,37,2,1:35.405,209.158,1
24,19,9,2,4,2,8.0,56,+19.570,5498125,39,6,1:35.921,208.033,1
25,19,5,1,8,3,6.0,56,+38.450,5517005,19,7,1:35.922,208.031,1
26,19,15,7,3,4,5.0,56,+45.832,5524387,53,8,1:36.068,207.715,1
27,19,1,1,9,5,4.0,56,+46.548,5525103,53,3,1:35.462,209.033,1
28,19,2,2,5,6,3.0,56,+49.833,5528388,55,1,1:35.366,209.244,1
29,19,17,9,6,7,2.0,56,+68.130,5546685,53,12,1:36.696,206.366,1
30,19,4,4,7,8,1.0,56,+70.041,5548596,40,10,1:36.288,207.24,1
31,19,14,9,12,9,0.0,56,+76.220,5554775,55,9,1:36.206,207.417,1
32,19,18,11,11,10,0.0,56,+86.214,5564769,56,4,1:35.715,208.481,1
33,19,12,4,13,11,0.0,56,+92.202,5570757,52,15,1:36.956,205.812,1
45,20,13,6,2,1,10.0,57,1:31:06.970,5466970,38,3,1:33.600,208.153,1
46,20,8,6,4,2,8.0,57,+3.339,5470309,35,4,1:33.709,207.911,1
47,20,9,2,1,3,6.0,57,+4.998,5471968,55,5,1:33.775,207.765,1
48,20,2,2,6,4,5.0,57,+8.409,5475379,48,2,1:33.565,208.231,1
49,20,5,1,5,5,4.0,57,+26.789,5493759,49,1,1:33.193,209.062,1
50,20,15,7,7,6,3.0,57,+41.314,5508284,45,7,1:34.204,206.819,1
51,20,17,9,11,7,2.0,57,+45.473,5512443,51,8,1:34.305,206.597,1
52,20,3,3,8,8,1.0,57,+55.889,5522859,57,6,1:34.072,207.109,1
53,20,10,7,13,9,0.0,57,+69.500,5536470,56,9,1:34.807,205.503,1
54,20,4,4,10,10,0.0,57,+77.181,5544151,35,13,1:35.194,204.668,1
55,20,22,11,12,11,0.0,57,+77.862,5544832,40,10,1:34.855,205.399,1
67,21,8,6,1,1,10.0,66,1:38:19.051,5899051,46,1,1:21.670,205.191,1
68,21,13,6,3,2,8.0,66,+3.228,5902279,45,2,1:21.801,204.863,1
69,21,1,1,5,3,6.0,66,+4.187,5903238,20,3,1:22.017,204.323,1
70,21,9,2,4,4,5.0,66,+5.694,5904745,20,4,1:22.106,204.102,1
71,21,17,9,7,5,4.0,66,+35.938,5934989,19,8,1:22.564,202.969,1
72,21,18,11,13,6,3.0,66,+53.010,5952061,66,5,1:22.353,203.489,1
73,21,6,3,12,7,2.0,66,+58.244,5957295,48,15,1:23.549,200.576,1
74,21,15,7,8,8,1.0,66,+59.435,5958486,45,10,1:22.758,202.494,1
75,21,2,2,9,9,0.0,66,+63.073,5962124,21,7,1:22.519,203.08,1
89,22,13,6,1,1,10.0,58,1:26:49.451,5209451,16,3,1:26.666,221.734,1
90,22,1,1,3,2,8.0,58,+3.779,5213230,31,2,1:26.529,222.085,1
91,22,8,6,4,3,6.0,58,+4.271,5213722,20,1,1:26.506,222.144,1
92,22,9,2,5,4,5.0,58,+21.945,5231396,17,4,1:26.780,221.442,1
93,22,2,2,9,5,4.0,58,+38.741,5248192,20,5,1:27.219,220.328,1
94,22,4,4,7,6,3.0,58,+53.724,5263175,57,6,1:27.280,220.174,1
95,22,17,9,6,7,2.0,58,+64.229,5273680,14,7,1:27.630,219.294,1
96,22,3,3,11,8,1.0,58,+71.406,5280857,55,9,1:27.795,218.882,1
97,22,14,9,10,9,0.0,58,+75.270,5284721,41,12,1:27.966,218.457,1
98,22,15,7,8,10,0.0,58,+76.344,5285795,52,11,1:27.926,218.556,1
109,23,1,1,3,1,10.0,76,2:00:42.742,7242742,71,6,1:18.510,153.152,1
110,23,9,2,5,2,8.0,76,+3.064,7245806,75,5,1:17.933,154.286,1
111,23,13,6,1,3,6.0,76,+4.811,7247553,76,4,1:17.886,154.379,1
112,23,17,9,9,4,5.0,76,+19.295,7262037,74,8,1:19.036,152.133,1
113,23,20,5,19,5,4.0,76,+24.657,7267399,74,7,1:18.787,152.614,1
114,23,22,11,14,6,3.0,76,+28.408,7271150,75,9,1:19.574,151.104,1
115,23,6,3,13,7,2.0,76,+30.180,7272922,75,13,1:19.910,150.469,1
116,23,5,1,4,8,1.0,76,+33.191,7275933,74,2,1:17.282,155.586,1
117,23,8,6,2,9,0.0,76,+33.792,7276534,74,1,1:16.689,156.789,1
129,24,9,2,2,1,10.0,70,1:36:24.447,5784447,47,4,1:17.539,202.473,1
130,24,2,2,8,2,8.0,70,+16.495,5800942,25,2,1:17.430,202.758,1
131,24,14,9,13,3,6.0,70,+23.352,5807799,36,7,1:18.085,201.057,1
132,24,10,7,11,4,5.0,70,+42.627,5827074,31,17,1:19.087,198.51,1
133,24,13,6,6,5,4.0,70,+43.934,5828381,11,6,1:18.006,201.261,1
134,24,15,7,14,6,3.0,70,+47.775,5832222,38,15,1:18.870,199.056,1
135,24,22,11,9,7,2.0,70,+53.597,5838044,35,10,1:18.301,200.503,1
136,24,20,5,19,8,1.0,70,+54.120,5838567,33,12,1:18.532,199.913,1
137,24,5,1,7,9,0.0,70,+54.433,5838880,62,11,1:18.462,200.091,1
138,24,3,3,5,10,0.0,70,+57.749,5842196,14,5,1:17.977,201.336,1
139,24,18,11,20,11,0.0,70,+67.540,5851987,58,19,1:19.352,197.847,1
140,24,17,9,10,12,0.0,70,+71.229,5855676,51,8,1:18.201,200.759,1
149,25,13,6,2,1,10.0,70,1:31:50.245,5510245,20,2,1:16.729,206.956,1
150,25,8,6,1,2,8.0,70,+17.984,5528229,16,1,1:16.630,207.224,1
151,25,15,7,4,3,6.0,70,+28.250,5538495,12,7,1:17.567,204.721,1
152,25,5,1,10,4,5.0,70,+28.929,5539174,46,3,1:17.134,205.87,1
153,25,9,2,5,5,4.0,70,+30.512,5540757,16,4,1:17.172,205.768,1
154,25,17,9,6,6,3.0,70,+40.304,5550549,22,6,1:17.507,204.879,1
155,25,12,4,9,7,2.0,70,+41.033,5551278,24,10,1:17.758,204.218,1
156,25,4,4,3,8,1.0,70,+43.372,5553617,39,8,1:17.641,204.525,1
157,25,14,9,7,9,0.0,70,+51.072,5561317,23,12,1:17.818,204.06,1
158,25,1,1,13,10,0.0,70,+54.521,5564766,40,5,1:17.453,205.022,1
159,25,10,7,8,11,0.0,70,+57.738,5567983,45,13,1:17.836,204.013,1
160,25,20,5,12,12,0.0,70,+58.065,5568310,36,11,1:17.760,204.212,1
161,25,2,2,11,13,0.0,70,+62.079,5572324,46,9,1:17.716,204.328,1
169,26,1,1,4,1,10.0,60,1:39:09.440,5949440,16,3,1:32.817,199.398,1
170,26,2,2,5,2,8.0,60,+68.577,6018017,21,2,1:32.719,199.609,1
171,26,22,11,16,3,6.0,60,+82.273,6031713,21,11,1:33.386,198.183,1
189,27,1,1,1,1,10.0,67,1:31:20.874,5480874,17,2,1:16.039,216.552,1
190,27,12,4,17,2,8.0,67,+5.586,5486460,66,9,1:16.910,214.099,1
191,27,13,6,2,3,6.0,67,+9.339,5490213,19,5,1:16.502,215.241,1
192,27,2,2,12,4,5.0,67,+9.825,5490699,52,1,1:15.987,216.7,1
193,27,5,1,3,5,4.0,67,+12.411,5493285,63,4,1:16.495,215.261,1
194,27,8,6,6,6,3.0,67,+14.483,5495357,66,3,1:16.342,215.692,1
195,27,9,2,7,7,2.0,67,+22.603,5503477,17,6,1:16.610,214.937,1
196,27,20,5,9,8,1.0,67,+33.282,5514156,20,8,1:16.772,214.484,1
197,27,15,7,4,9,0.0,67,+37.199,5518073,17,12,1:17.023,213.785,1
198,27,3,3,13,10,0.0,67,+37.658,5518532,34,15,1:17.380,212.799,1
199,27,4,4,5,11,0.0,67,+38.625,5519499,17,13,1:17.115,213.53,1
200,27,7,5,15,12,0.0,67,+39.111,5519985,63,10,1:16.969,213.935,1
201,27,14,9,10,13,0.0,67,+54.971,5535845,18,11,1:16.994,213.866,1
202,27,6,3,16,14,0.0,67,+60.003,5540877,23,17,1:17.691,211.947,1
203,27,16,10,19,15,0.0,67,+69.488,5550362,66,18,1:17.889,211.408,1
204,27,21,10,20,16,0.0,67,+84.093,5564967,67,20,1:18.208,210.546,1
209,28,5,1,2,1,10.0,70,1:37:27.067,5847067,19,7,1:21.753,192.917,1
210,28,10,7,5,2,8.0,70,+11.061,5858128,42,6,1:21.671,193.111,1
211,28,8,6,6,3,6.0,70,+16.856,5863923,61,1,1:21.195,194.243,1
212,28,4,4,7,4,5.0,70,+21.614,5868681,47,8,1:21.793,192.823,1
213,28,1,1,1,5,4.0,70,+23.048,5870115,15,3,1:21.493,193.533,1
214,28,12,4,10,6,3.0,70,+32.298,5879365,64,4,1:21.537,193.428,1
215,28,15,7,9,7,2.0,70,+36.449,5883516,65,5,1:21.638,193.189,1
216,28,9,2,4,8,1.0,70,+48.321,5895388,70,9,1:21.941,192.475,1
217,28,17,9,8,9,0.0,70,+58.834,5905901,67,10,1:22.125,192.043,1
218,28,2,2,15,10,0.0,70,+67.709,5914776,67,11,1:22.183,191.908,1
219,28,14,9,13,11,0.0,70,+70.407,5917474,67,16,1:22.732,190.634,1
229,29,13,6,1,1,10.0,57,1:35:32.339,5732339,36,1,1:38.708,197.637,1
230,29,1,1,2,2,8.0,57,+5.611,5737950,16,2,1:38.884,197.285,1
231,29,9,2,3,3,6.0,57,+37.353,5769692,38,4,1:39.330,196.399,1
232,29,5,1,5,4,5.0,57,+39.703,5772042,19,3,1:39.112,196.831,1
233,29,15,7,7,5,4.0,57,+50.684,5783023,37,12,1:39.657,195.755,1
234,29,20,5,6,6,3.0,57,+52.625,5784964,36,6,1:39.485,196.093,1
235,29,10,7,13,7,2.0,57,+67.990,5800329,54,8,1:39.535,195.995,1
236,29,3,3,9,8,1.0,57,+71.457,5803796,35,10,1:39.577,195.912,1
237,29,2,2,8,9,0.0,57,+82.177,5814516,57,7,1:39.526,196.013,1
238,29,7,5,10,10,0.0,57,+89.794,5822133,35,11,1:39.639,195.79,1
239,29,12,4,15,11,0.0,57,+92.717,5825056,29,9,1:39.544,195.977,1
249,30,13,6,2,1,10.0,44,1:22:59.394,4979394,26,3,1:48.222,232.987,1
250,30,2,2,5,2,8.0,44,+9.383,4988777,36,7,1:49.067,231.182,1
251,30,1,1,1,3,6.0,44,+10.539,4989933,20,2,1:48.135,233.175,1
252,30,4,4,6,4,5.0,44,+14.478,4993872,25,9,1:49.238,230.82,1
253,30,20,5,10,5,4.0,44,+14.576,4993970,16,8,1:49.086,231.142,1
254,30,9,2,8,6,3.0,44,+15.037,4994431,36,5,1:48.965,231.399,1
255,30,7,5,9,7,2.0,44,+16.735,4996129,31,6,1:49.002,231.32,1
256,30,17,9,7,8,1.0,44,+42.776,5022170,34,10,1:49.515,230.236,1
257,30,10,7,13,9,0.0,44,+67.045,5046439,37,12,1:50.255,228.691,1
269,31,20,5,1,1,10.0,53,1:26:47.494,5207494,53,14,1:30.510,230.414,1
270,31,5,1,2,2,8.0,53,+12.512,5220006,53,13,1:30.300,230.95,1
271,31,9,2,11,3,6.0,53,+20.471,5227965,52,12,1:30.298,230.955,1
272,31,4,4,8,4,5.0,53,+23.903,5231397,51,9,1:29.961,231.82,1
273,31,2,2,10,5,4.0,53,+27.748,5235242,53,6,1:29.807,232.217,1
274,31,13,6,6,6,3.0,53,+28.816,5236310,52,4,1:29.696,232.505,1
275,31,1,1,15,7,2.0,53,+29.912,5237406,52,5,1:29.721,232.44,1
276,31,17,9,3,8,1.0,53,+32.048,5239542,52,3,1:29.681,232.544,1
277,31,8,6,14,9,0.0,53,+39.468,5246962,53,1,1:28.047,236.859,1
278,31,12,4,17,10,0.0,53,+54.445,5261939,53,16,1:30.918,229.38,1
279,31,10,7,9,11,0.0,53,+58.888,5266382,53,8,1:29.948,231.853,1
280,31,6,3,18,12,0.0,53,+62.015,5269509,53,11,1:30.215,231.167,1
281,31,15,7,7,13,0.0,53,+65.954,5273448,52,15,1:30.853,229.544,1
282,31,3,3,5,14,0.0,53,+68.635,5276129,53,10,1:30.019,231.671,1
283,31,18,11,19,15,0.0,53,+73.370,5280864,52,7,1:29.827,232.166,1
289,32,4,4,15,1,10.0,61,1:57:16.304,7036304,55,3,1:45.768,172.464,1
290,32,3,3,8,2,8.0,61,+2.957,7039261,39,5,1:46.454,171.352,1
291,32,1,1,2,3,6.0,61,+5.917,7042221,14,4,1:46.072,171.969,1
292,32,10,7,7,4,5.0,61,+8.155,7044459,50,8,1:47.044,170.408,1
293,32,20,5,6,5,4.0,61,+10.268,7046572,13,9,1:47.271,170.047,1
294,32,2,2,9,6,3.0,61,+11.101,7047405,14,11,1:47.306,169.992,1
295,32,14,9,14,7,2.0,61,+16.387,7052691,41,13,1:47.562,169.587,1
296,32,6,3,10,8,1.0,61,+18.489,7054793,13,10,1:47.287,170.022,1
297,32,18,11,12,9,0.0,61,+19.885,7056189,61,15,1:48.128,168.7,1
298,32,5,1,5,10,0.0,61,+26.902,7063206,14,12,1:47.337,169.943,1
299,32,9,2,4,11,0.0,61,+27.975,7064279,14,6,1:46.899,170.639,1
300,32,7,5,17,12,0.0,61,+29.432,7065736,29,14,1:47.820,169.181,1
301,32,13,6,1,13,0.0,61,+35.170,7071474,13,2,1:45.757,172.482,1
302,32,21,10,20,14,0.0,61,+43.571,7079875,28,16,1:49.101,167.195,1
309,33,4,4,4,1,10.0,67,1:30:21.892,5421892,41,3,1:19.101,207.668,1
310,33,9,2,6,2,8.0,67,+5.283,5427175,16,7,1:19.292,207.168,1
311,33,8,6,2,3,6.0,67,+6.400,5428292,66,2,1:18.995,207.947,1
312,33,12,4,12,4,5.0,67,+20.570,5442462,54,4,1:19.199,207.411,1
313,33,15,7,7,5,4.0,67,+23.767,5445659,18,9,1:19.524,206.564,1
314,33,20,5,9,6,3.0,67,+39.207,5461099,21,12,1:19.617,206.322,1
315,33,13,6,5,7,2.0,67,+46.158,5468050,55,1,1:18.426,209.456,1
316,33,17,9,13,8,1.0,67,+50.811,5472703,30,13,1:19.820,205.798,1
317,33,2,2,16,9,0.0,67,+54.120,5476012,67,8,1:19.461,206.727,1
318,33,7,5,10,10,0.0,67,+59.085,5480977,49,6,1:19.262,207.246,1
319,33,3,3,15,11,0.0,67,+62.096,5483988,66,10,1:19.531,206.545,1
320,33,1,1,1,12,0.0,67,+78.900,5500792,65,11,1:19.560,206.47,1
329,34,1,1,1,1,10.0,56,1:31:57.403,5517403,13,1,1:36.325,203.722,1
330,34,13,6,3,2,8.0,56,+14.925,5532328,36,4,1:36.591,203.161,1
331,34,8,6,2,3,6.0,56,+16.445,5533848,14,2,1:36.483,203.389,1
332,34,4,4,4,4,5.0,56,+18.370,5535773,56,5,1:36.659,203.018,1
333,34,2,2,9,5,4.0,56,+28.923,5546326,56,3,1:36.498,203.357,1
334,34,9,2,11,6,3.0,56,+33.219,5550622,56,7,1:36.854,202.61,1
335,34,10,7,12,7,2.0,56,+41.722,5559125,56,6,1:36.727,202.876,1
336,34,12,4,10,8,1.0,56,+56.645,5574048,56,8,1:36.996,202.313,1
337,34,20,5,6,9,0.0,56,+64.339,5581742,55,9,1:37.212,201.863,1
338,34,14,9,15,10,0.0,56,+74.842,5592245,27,14,1:37.753,200.746,1
